"src_ip","dest_ip","dest_port",dvc,sourcetype
"167.69.91.10","10.124.64.168",389,"206.213.247.22","cp_log"
"167.69.90.10","10.124.64.168",49671,"206.213.247.22","cp_log"
"167.69.90.10","10.124.64.168",49684,"206.213.247.22","cp_log"
"167.69.90.10 167.69.90.24","10.18.18.225",49669,"206.213.247.22","cp_log"
"167.69.90.24","10.18.18.225",62767,"206.213.247.22","cp_log"
"167.69.91.18","10.18.18.235",52551,"206.213.247.22","cp_log"
"10.236.63.227","10.18.25.74",49687,"10.236.251.205","cisco:asa"
"10.236.127.229","10.18.25.74",135,"10.236.251.244","cisco:asa"
"10.236.127.229","10.18.25.74",49668,"10.236.251.247","cisco:asa"
"167.69.91.18","10.18.25.74",135,"206.213.247.22","cp_log"
"167.69.90.10 167.69.91.18","10.18.25.74",49668,"206.213.247.22","cp_log"
"167.69.90.10","10.214.170.201",135,"206.213.247.22","cp_log"
"167.69.90.10","10.214.170.201",389,"206.213.247.22","cp_log"
"167.69.90.10","10.214.170.201",49669,"206.213.247.22","cp_log"
"10.236.63.228 10.236.63.229","10.214.170.210",389,"10.236.251.204","cisco:asa"
"10.236.63.228","10.214.170.210",49676,"10.236.251.205","cisco:asa"
"10.236.63.228 10.236.63.229","10.214.170.210",389,"10.236.251.206","cisco:asa"
"10.236.63.228 10.236.63.229","10.214.170.210",389,"10.236.251.207","cisco:asa"
"10.236.127.232","10.214.170.210",123,"10.236.251.244","cisco:asa"
"10.236.127.231 10.236.127.232","10.214.170.210",389,"10.236.251.244","cisco:asa"
"10.236.127.231 10.236.127.232","10.214.170.210",389,"10.236.251.245","cisco:asa"
"10.236.127.231","10.214.170.210",389,"10.236.251.246","cisco:asa"
"10.236.127.232","10.214.170.210",389,"10.236.251.247","cisco:asa"
"167.69.90.24","10.214.170.211",135,"206.213.247.22","cp_log"
"167.69.90.24","10.214.170.211",49675,"206.213.247.22","cp_log"
"167.69.91.18","10.217.241.162",135,"206.213.247.22","cp_log"
"167.69.91.18","10.217.241.162",49669,"206.213.247.22","cp_log"
"167.69.91.10","10.220.188.77",49669,"206.213.247.22","cp_log"
"10.223.251.201","10.220.188.78",3268,"10.18.126.10","cisco:asa"
"10.223.252.201","10.220.188.78",3268,"10.18.126.11","cisco:asa"
"10.223.252.201","10.220.188.78",3268,"10.18.126.24","cisco:asa"
"10.223.252.201","10.220.188.78",3268,"10.18.126.25","cisco:asa"
"10.236.127.233","10.220.188.84",135,"10.18.126.11","cisco:asa"
"10.236.127.233","10.220.188.84",49675,"10.18.126.11","cisco:asa"
"10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214","10.221.161.101",135,"10.18.126.10","cisco:asa"
"10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214","10.221.161.101",389,"10.18.126.10","cisco:asa"
"10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214","10.221.161.101",135,"10.18.126.11","cisco:asa"
"10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214","10.221.161.101",389,"10.18.126.11","cisco:asa"
"10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214","10.221.161.101",135,"10.18.126.24","cisco:asa"
"10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214","10.221.161.101",389,"10.18.126.24","cisco:asa"
"10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214","10.221.161.101",135,"10.18.126.25","cisco:asa"
"10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214","10.221.161.101",389,"10.18.126.25","cisco:asa"
"10.236.63.227","10.221.161.101",389,"10.236.251.204","cisco:asa"
"10.236.63.227","10.221.161.101",389,"10.236.251.205","cisco:asa"
"10.236.63.226","10.221.161.101",389,"10.236.251.206","cisco:asa"
"10.236.63.227","10.221.161.101",389,"10.236.251.207","cisco:asa"
"10.236.63.227","10.221.161.101",88,"10.236.251.207","cisco:asa"
"10.236.127.229","10.221.161.101",88,"10.236.251.244","cisco:asa"
"10.236.127.229 10.236.127.230","10.221.161.101",389,"10.236.251.245","cisco:asa"
"10.236.127.229","10.221.161.101",135,"10.236.251.246","cisco:asa"
"10.236.127.229 10.236.127.230","10.221.161.101",389,"10.236.251.247","cisco:asa"
"167.69.90.10","10.221.161.106",135,"206.213.247.22","cp_log"
"10.236.63.231","10.221.161.107",135,"10.236.251.204","cisco:asa"
"10.236.63.230 10.236.63.231","10.221.161.107",389,"10.236.251.204","cisco:asa"
"10.236.63.230","10.221.161.107",49675,"10.236.251.204","cisco:asa"
"10.236.63.231","10.221.161.107",389,"10.236.251.205","cisco:asa"
"10.236.63.230","10.221.161.107",88,"10.236.251.205","cisco:asa"
"10.236.63.230 10.236.63.231","10.221.161.107",389,"10.236.251.206","cisco:asa"
"10.236.63.231","10.221.161.107",88,"10.236.251.206","cisco:asa"
"10.236.127.233 10.236.127.234","10.221.161.107",389,"10.236.251.244","cisco:asa"
"10.236.127.233","10.221.161.107",389,"10.236.251.245","cisco:asa"
"10.236.127.234","10.221.161.107",3268,"10.236.251.246","cisco:asa"
"10.236.127.233","10.221.161.107",389,"10.236.251.246","cisco:asa"
"10.236.127.234","10.221.161.107",3268,"10.236.251.247","cisco:asa"
"10.236.127.233 10.236.127.234","10.221.161.107",389,"10.236.251.247","cisco:asa"
"167.69.91.18","10.221.161.112",135,"206.213.247.22","cp_log"
"167.69.91.18","10.221.161.112",49668,"206.213.247.22","cp_log"
"167.69.91.18","10.221.161.112",49676,"206.213.247.22","cp_log"
"10.223.251.209","10.221.161.113",135,"10.18.126.10","cisco:asa"
"10.223.251.209 10.223.252.209 10.223.252.211","10.221.161.113",389,"10.18.126.10","cisco:asa"
"10.223.251.209","10.221.161.113",135,"10.18.126.11","cisco:asa"
"10.223.252.209 10.223.252.211","10.221.161.113",389,"10.18.126.11","cisco:asa"
"10.223.251.209","10.221.161.113",135,"10.18.126.24","cisco:asa"
"10.223.251.209 10.223.252.211","10.221.161.113",389,"10.18.126.24","cisco:asa"
