src_ip,dest_ip,dest_port,dvc
10.236.63.226 10.236.63.230 10.236.63.231,10.124.64.168,135,10.236.251.207
167.69.90.81 167.69.91.12,10.159.17.197,3268,mid-fw-equinix-ftd-1
167.69.5.179,10.159.17.199,445,mid-fw-equinix-ftd-1
10.223.252.197,10.18.18.225,135,10.18.126.25
10.223.252.214,10.18.18.235,135,10.18.126.11
10.223.252.207,10.18.18.235,135,10.18.126.24
10.236.127.234,10.18.18.235,135,10.236.251.247
10.223.252.200 10.223.252.201 10.236.127.234 10.236.63.230 10.236.63.231,10.18.18.235,389,10.18.126.25
10.236.63.230,10.18.18.235,389,10.236.251.204
10.236.127.233,10.18.18.235,88,10.236.251.244
10.236.127.229,10.18.25.74,135,10.18.126.25
10.236.63.229,10.214.170.210,135,10.236.251.205
10.236.63.228 10.236.63.229,10.214.170.210,389,10.236.251.206
10.236.127.231 10.236.127.232,10.214.170.210,389,10.236.251.246
10.236.127.231,10.214.170.210,88,10.236.251.246
10.236.127.233,10.220.188.84,135,10.18.126.10
10.223.251.207 10.223.251.213 10.223.252.207 10.223.252.214,10.221.161.101,135,10.18.126.25
10.236.63.227,10.221.161.101,389,10.236.251.205
10.236.127.229 10.236.127.230,10.221.161.101,389,10.236.251.245
10.236.127.229,10.221.161.101,88,10.236.251.245
10.223.251.202 10.223.252.201 10.236.127.234 10.236.63.231,10.221.161.107,389,10.18.126.11
10.223.251.201 10.223.251.202 10.223.252.200 10.236.127.234 10.236.63.230 10.236.63.231,10.221.161.107,389,10.18.126.24
10.236.63.230 10.236.63.231,10.221.161.107,389,10.236.251.207
10.223.251.201 10.223.252.200,10.221.161.107,88,10.18.126.24
10.236.63.226,10.221.161.113,135,10.236.251.205
167.69.91.10 167.69.91.18,10.221.161.113,135,206.213.247.22
10.223.251.209 10.223.252.209 10.223.252.211,10.221.161.113,389,10.18.126.10
167.69.90.24,10.223.251.200,135,10.18.126.10
10.18.28.116,10.223.251.201,3268,10.18.126.11
10.18.41.129,10.223.251.202,3268,10.18.126.10
10.220.188.78,10.223.251.207,135,10.18.126.24
10.220.188.80,10.223.252.196,88,10.18.126.25
167.69.90.10,10.223.252.199,135,10.18.126.25
167.69.5.179,10.236.127.227,3268,206.213.247.22
167.69.91.18,10.236.127.230,135,206.213.247.22
167.69.90.24,10.236.127.231,135,10.18.126.25
10.223.251.207,10.236.127.232,389,10.236.251.244
10.8.2.3,10.236.127.233,3268,10.236.251.244
10.221.161.110,10.236.127.234,3268,10.18.126.24
10.223.252.200,10.236.127.234,3268,10.236.251.247
167.69.91.10,10.236.63.229,389,10.236.251.207
10.214.170.212,10.236.63.230,135,10.236.251.206
10.18.16.221,10.236.63.230,3268,10.236.251.204
167.69.32.23,10.236.63.234,3268,10.18.126.25
167.69.91.138,10.236.63.235,3268,10.236.251.207
10.46.84.11,10.42.84.12,135,10.46.193.57
10.46.12.24,10.46.84.11,389,10.46.193.55
10.46.84.11,10.47.208.142,389,10.46.193.15
10.47.208.130,10.47.35.27,135,10.46.193.49
